Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,10,16,1.563913858,0.9319552741,-0.6319585839,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,10,32,2.359151626,1.726548846,-0.63260278,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,10,64,3.224754325,2.565820009,-0.6589343157,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,30,16,1.706752314,0.9472911741,-0.7594611394,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,30,32,2.539410655,1.838017276,-0.7013933797,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,30,64,3.428453355,2.727284881,-0.7011684745,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,60,16,1.732871021,1.04081676,-0.6920542608,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,60,32,2.557412432,1.922949842,-0.6344625903,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,60,64,3.478578188,2.841701412,-0.6368767762,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,120,16,1.779663367,0.9875312206,-0.7921321465,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,120,32,2.63887436,1.924671182,-0.7142031779,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,120,64,3.567025967,2.834904224,-0.7321217427,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,10,16,2.263131036,1.47565863,-0.7874724058,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,10,32,3.087375763,2.281275968,-0.8060997951,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,10,64,3.928938214,3.127287522,-0.8016506926,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,30,16,2.464057482,1.613255909,-0.8508015727,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,30,32,3.364202596,2.495066811,-0.8691357846,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,30,64,4.271568473,3.392952733,-0.8786157403,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,60,16,2.604242476,1.670799404,-0.9334430725,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,60,32,3.524819291,2.495531484,-1.029287807,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,60,64,4.474881598,3.445082627,-1.029798971,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,120,16,2.677727612,1.704832463,-0.972895149,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,120,32,3.620016228,2.571610762,-1.048405466,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,120,64,4.580799653,3.531788092,-1.049011561,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,10,16,2.165832737,1.665408361,-0.5004243764,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,10,32,3.027214386,2.469134123,-0.5580802634,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,10,64,3.903951455,3.338101017,-0.5658504376,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,30,16,2.37194104,1.778174642,-0.593766398,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,30,32,3.322231097,2.643493293,-0.678737804,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,30,64,4.235367214,3.567037813,-0.6683294013,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,60,16,2.388223001,1.824854493,-0.5633685083,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,60,32,3.314755946,2.732546657,-0.5822092898,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,60,64,4.25897389,3.679104362,-0.5798695274,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,120,16,2.421964728,1.884410205,-0.5375545231,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,120,32,3.349359152,2.747375806,-0.6019833457,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
