Representation,Level,Band,Channel,Feature,Window_Length_s,Baseline_Median_LZC,Modulation_Median_LZC,Delta_LZC_ModMinusBase,Baseline_N_Windows,Modulation_N_Windows,Baseline_Sequence_Length_Min,Baseline_Sequence_Length_Median,Baseline_Sequence_Length_Max,Modulation_Sequence_Length_Min,Modulation_Sequence_Length_Median,Modulation_Sequence_Length_Max,Baseline_Distinct_LZC_Values,Modulation_Distinct_LZC_Values,LZC_Normalization
FFT-derived POW,Feature,Theta,Fp1,POW.Fp1.Theta,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fp1,POW.Fp1.Theta,30,0.510653351,0.5271260397,0.01647268874,60,60,240,240,241,240,240,241,13,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fp1,POW.Fp1.Theta,60,0.4824565739,0.4824565739,0,30,30,480,480,481,480,480,481,12,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,Fp1,POW.Fp1.Theta,120,0.4639725993,0.4643854967,0.0004128973613,15,15,960,960,961,960,960,961,9,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fp1,POW.Fp1.Alpha,10,0.5531687083,0.5531687083,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fp1,POW.Fp1.Alpha,30,0.4612352847,0.4612352847,0,60,60,240,240,241,240,240,241,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fp1,POW.Fp1.Alpha,60,0.4356784888,0.4267885077,-0.008889981085,30,30,480,480,481,480,480,481,14,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Fp1,POW.Fp1.Alpha,120,0.4024674304,0.4127871082,0.0103196777,15,15,960,960,961,960,960,961,13,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fp1,POW.Fp1.BetaL,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fp1,POW.Fp1.BetaL,30,0.4941806622,0.5271260397,0.03294537748,60,60,240,240,241,240,240,241,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fp1,POW.Fp1.BetaL,60,0.4820362081,0.4824565739,0.0004203657814,30,30,480,480,481,480,480,481,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Fp1,POW.Fp1.BetaL,120,0.4437461413,0.4643854967,0.02063935541,15,15,960,960,961,960,960,961,12,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fp1,POW.Fp1.BetaH,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,9,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fp1,POW.Fp1.BetaH,30,0.5271260397,0.5271260397,0,60,60,240,240,241,240,240,241,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fp1,POW.Fp1.BetaH,60,0.4731785629,0.4824565739,0.009278011037,30,30,480,480,481,480,480,481,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Fp1,POW.Fp1.BetaH,120,0.454065819,0.4437461413,-0.0103196777,15,15,960,960,961,960,960,961,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fp1,POW.Fp1.Gamma,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fp1,POW.Fp1.Gamma,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,12,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fp1,POW.Fp1.Gamma,60,0.4639005519,0.4546225408,-0.009278011037,30,30,480,480,481,480,480,481,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,Fp1,POW.Fp1.Gamma,120,0.454065819,0.4330410927,-0.02102472628,15,15,960,960,961,960,960,961,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F7,POW.F7.Theta,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F7,POW.F7.Theta,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,12,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F7,POW.F7.Theta,60,0.4639005519,0.4639005519,0,30,30,480,480,481,480,480,481,12,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F7,POW.F7.Theta,120,0.4437461413,0.454065819,0.0103196777,15,15,960,960,961,960,960,961,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F7,POW.F7.Alpha,10,0.6321928095,0.5531687083,-0.07902410119,181,181,80,80,81,80,80,81,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F7,POW.F7.Alpha,30,0.4777079735,0.444762596,-0.03294537748,60,60,240,240,241,240,240,241,14,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F7,POW.F7.Alpha,60,0.4267885077,0.4267885077,0,30,30,480,480,481,480,480,481,15,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F7,POW.F7.Alpha,120,0.4227305905,0.3917990839,-0.03093150662,15,15,960,960,961,960,960,961,9,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F7,POW.F7.BetaL,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,9,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F7,POW.F7.BetaL,30,0.4941806622,0.5271260397,0.03294537748,60,60,240,240,241,240,240,241,13,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F7,POW.F7.BetaL,60,0.4639005519,0.501012596,0.03711204415,30,30,480,480,481,480,480,481,13,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F7,POW.F7.BetaL,120,0.4330410927,0.4437461413,0.01070504857,15,15,960,960,961,960,960,961,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F7,POW.F7.BetaH,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F7,POW.F7.BetaH,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F7,POW.F7.BetaH,60,0.4824565739,0.4824565739,0,30,30,480,480,481,480,480,481,12,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F7,POW.F7.BetaH,120,0.4437461413,0.4643854967,0.02063935541,15,15,960,960,961,960,960,961,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F7,POW.F7.Gamma,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,9,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F7,POW.F7.Gamma,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,13,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F7,POW.F7.Gamma,60,0.4639005519,0.4453445298,-0.01855602207,30,30,480,480,481,480,480,481,13,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F7,POW.F7.Gamma,120,0.4231067859,0.4334264636,0.0103196777,15,15,960,960,961,960,960,961,12,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F3,POW.F3.Theta,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F3,POW.F3.Theta,30,0.4941806622,0.5271260397,0.03294537748,60,60,240,240,241,240,240,241,12,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F3,POW.F3.Theta,60,0.4639005519,0.4824565739,0.01855602207,30,30,480,480,481,480,480,481,9,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,F3,POW.F3.Theta,120,0.454065819,0.4747051744,0.02063935541,15,15,960,960,961,960,960,961,8,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F3,POW.F3.Alpha,10,0.5531687083,0.6321928095,0.07902410119,181,181,80,80,81,80,80,81,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F3,POW.F3.Alpha,30,0.4777079735,0.4612352847,-0.01647268874,60,60,240,240,241,240,240,241,13,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F3,POW.F3.Alpha,60,0.4267885077,0.4267885077,0,30,30,480,480,481,480,480,481,14,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,F3,POW.F3.Alpha,120,0.4231067859,0.4334264636,0.0103196777,15,15,960,960,961,960,960,961,9,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F3,POW.F3.BetaL,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F3,POW.F3.BetaL,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,12,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F3,POW.F3.BetaL,60,0.4546225408,0.4824565739,0.02783403311,30,30,480,480,481,480,480,481,14,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,F3,POW.F3.BetaL,120,0.454065819,0.454065819,0,15,15,960,960,961,960,960,961,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,9,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,30,0.5271260397,0.4941806622,-0.03294537748,60,60,240,240,241,240,240,241,12,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,60,0.4639005519,0.4731785629,0.009278011037,30,30,480,480,481,480,480,481,9,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,120,0.454065819,0.4437461413,-0.0103196777,15,15,960,960,961,960,960,961,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,30,0.5271260397,0.4941806622,-0.03294537748,60,60,240,240,241,240,240,241,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,60,0.4639005519,0.4639005519,0,30,30,480,480,481,480,480,481,13,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,120,0.4433515949,0.4437461413,0.0003945463675,15,15,960,960,961,960,960,961,9,8,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,30,0.4941806622,0.5271260397,0.03294537748,60,60,240,240,241,240,240,241,10,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,60,0.4731785629,0.501012596,0.02783403311,30,30,480,480,481,480,480,481,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,120,0.4437461413,0.4643854967,0.02063935541,15,15,960,960,961,960,960,961,9,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,60,0.4453445298,0.4453445298,0,30,30,480,480,481,480,480,481,12,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,120,0.4334264636,0.454065819,0.02063935541,15,15,960,960,961,960,960,961,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
