Session,Reference,Band,Channel,Baseline_Median_POW,Session_Median_POW,Fold_Change,Delta_log10,Jensen_Shannon_Distance,Valid_DeltaLog10_All_5_Bands,Valid_JSD_All_5_Bands
MODULATION_DATASET,BASELINE_EC,Alpha,Cz,9.229986,5.3004835,0.5742677725,-0.2408855554,0.03632485443,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,Fz,5.441594,6.0391695,1.10981626,0.0452510833,0.03659205147,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,Fp1,6.531865,5.9787945,0.9153273223,-0.03842357386,0.02983627888,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,F7,4.719561,3.748992,0.7943518476,-0.09998709001,0.04664661311,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,F3,6.3242975,4.270272,0.6752168126,-0.1705567525,0.02177794367,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,FC1,3.5312205,3.0472515,0.8629456869,-0.06401653756,0.01480964288,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,C3,3.403608,2.0391715,0.5991205509,-0.2224857831,0.01530612296,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,FC5,3.480738,2.2210475,0.6380967197,-0.195113488,0.0397088159,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,FT9,2.7319995,2.8496375,1.043059305,0.01830900176,0.06046469141,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,T7,2.103486,0.9090185,0.4321485857,-0.364366904,0.04927577484,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,CP5,3.0818055,1.380304,0.4478880968,-0.3488304794,0.02202081885,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,CP1,5.0868115,3.0485135,0.5992975167,-0.2223575219,0.01237511994,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,P3,5.7144075,4.262733,0.7459623767,-0.127283076,0.03880037315,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,P7,2.6598655,1.063426,0.3998044262,-0.3981524022,0.02114865627,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,PO9,4.0493115,2.3007755,0.5681893082,-0.2455069428,0.05365891411,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,O1,9.14609,8.2676945,0.9039594515,-0.04385105003,0.05655304348,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,Pz,5.560874,4.1971325,0.7547613019,-0.1221903751,0.01114255952,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,Oz,9.6402485,8.912369,0.9244957741,-0.03409506965,0.04826667019,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,O2,11.335223,10.235692,0.9029987324,-0.04431285935,0.03780914196,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,PO10,10.6500555,7.025113,0.659631586,-0.1806985567,0.0513490136,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,P8,16.932248,8.67234,0.5121788908,-0.2905783247,0.06529275561,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,P4,6.537014,6.131991,0.938041589,-0.02777790631,0.01901803937,True,True
MODULATION_DATASET,BASELINE_EC,Alpha,CP2,4.9651425,4.045811,0.8148428771,-0.08892612645,0.02936036101,True,True
