Scope,Dimension,Baseline_Median,Baseline_Q25,Baseline_Q75,Applied_Scale,Scale_Source,NearZero_Guard_Applied
Whole_State,BetaH.F4,1.42853973620616,1.0962995,1.89123775,0.79493825,baseline_IQR,False
Whole_State,BetaH.F8,1.4585751583046,1.09471475,1.90469425,0.8099794999999999,baseline_IQR,False
Whole_State,BetaH.Fp2,1.4653580000000002,1.1174365,1.9334085,0.8159720000000001,baseline_IQR,False
Whole_State,Gamma.Cz,0.4465655,0.35444225,0.562655,0.20821275,baseline_IQR,False
Whole_State,Gamma.Fz,0.225257141263552,0.184927,0.27747225000000003,0.09254525000000002,baseline_IQR,False
Whole_State,Gamma.Fp1,0.335643,0.26870025,0.42617675,0.15747650000000002,baseline_IQR,False
Whole_State,Gamma.F7,0.27324800000000005,0.21443500000000001,0.35728425,0.14284925,baseline_IQR,False
Whole_State,Gamma.F3,0.276646,0.22249875,0.34857150000000003,0.12607275000000004,baseline_IQR,False
Whole_State,Gamma.FC1,0.17960949999999998,0.1493295,0.21599075,0.06666125,baseline_IQR,False
Whole_State,Gamma.C3,0.18573699999999999,0.15490525,0.2243745,0.06946925000000001,baseline_IQR,False
Whole_State,Gamma.FC5,0.1853475,0.1507325,0.22842,0.07768750000000002,baseline_IQR,False
Whole_State,Gamma.FT9,0.1271085,0.10585625,0.153668,0.04781175,baseline_IQR,False
Whole_State,Gamma.T7,0.12053900000000001,0.098523,0.148143,0.04962,baseline_IQR,False
Whole_State,Gamma.CP5,0.17718050000000002,0.147848,0.21329925,0.06545124999999999,baseline_IQR,False
Whole_State,Gamma.CP1,0.202954,0.16607703373444224,0.24807475,0.08199771626555777,baseline_IQR,False
Whole_State,Gamma.P3,0.22719250000000002,0.1878805,0.27747,0.08958949999999999,baseline_IQR,False
Whole_State,Gamma.P7,0.12920399999999999,0.1047305,0.162059,0.057328500000000004,baseline_IQR,False
Whole_State,Gamma.PO9,0.269095,0.20531675,0.35743674999999997,0.15211999999999998,baseline_IQR,False
Whole_State,Gamma.O1,0.3545515,0.290213,0.43087225,0.14065925,baseline_IQR,False
Whole_State,Gamma.Pz,0.2202155,0.18137975,0.26792900000000003,0.08654925000000002,baseline_IQR,False
Whole_State,Gamma.Oz,0.4154455,0.3407785,0.5118825,0.17110400000000003,baseline_IQR,False
Whole_State,Gamma.O2,0.5907279999999999,0.4328095,0.8026960000000001,0.36988650000000006,baseline_IQR,False
Whole_State,Gamma.PO10,0.5402365,0.42980399999999996,0.67117725,0.24137324999999998,baseline_IQR,False
