Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Band,Channel,Feature
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.2701877070160225,-0.26611411900000004,-0.6267358870000002,0.10277081999999993,-0.020965003059668474,0.0,-0.15804820239999767,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.2088260240632552,0.6034788281174266,0.059260495196250575,12,17,16.022099447513813,46,7,46,8,17,12,4,10,Alpha,F8,POW.F8.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.3139134352651931,-0.29083472399999977,-0.6498169019999995,0.060510315999988684,-0.0065572940027625514,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1781324875690413,0.5568262083253793,0.09636391675273005,13,15,15.469613259668508,39,3,50,12,15,13,6,9,Alpha,FC1,POW.FC1.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,0.2452674749392267,0.25515912999999957,-0.08806726899999973,0.6004023749999998,0.0039252075287291915,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.15435010358397683,0.6346976826378411,0.062347683375135424,17,34,28.176795580110497,17,0,28,4,34,17,35,18,Alpha,FC2,POW.FC2.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.7290579823099449,-0.7417245039999996,-1.073206984,-0.2572554560000002,0.001288953386187789,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.11247149573641088,0.5945503303098792,0.13457192552324038,7,6,7.18232044198895,58,9,48,18,6,7,2,4,Alpha,FC5,POW.FC5.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.4089910012320443,-0.34321848999999993,-0.6983401349999996,-0.07665758800000022,-0.002623751136464133,0.0,-0.15804820239999373,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1391628916086853,0.5577372438453754,0.13808992275814044,9,12,11.602209944751381,52,6,46,14,12,9,4,10,Alpha,FC6,POW.FC6.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.0836144973950278,-0.05855976700000021,-0.43089489999998865,0.2801048750000015,-0.003056180711602191,0.0,-0.07902410120000314,0.07902410120000014,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.07162721622111369,0.48689761777322943,0.09615379278503794,10,28,20.994475138121548,35,4,40,6,28,10,15,17,Alpha,FT10,POW.FT10.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,0.014125838839779224,0.0014314159999999632,-0.5083879299999996,0.5169437810000033,-0.018345419594475533,-1.5543122344752192e-15,-0.15804820239999923,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1079673081832873,0.5359878124388597,0.12190033690309898,15,33,26.519337016574585,42,3,26,7,33,15,18,13,Alpha,FT9,POW.FT9.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.18893506064640914,-0.22859615700000013,-0.5544681600000003,0.25737613099999646,-0.0039377105370166565,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.11392346456102449,0.655394743552636,0.09482749032337813,14,14,15.469613259668508,45,1,35,10,14,14,14,14,Alpha,Fp1,POW.Fp1.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.165780283574586,-0.18899269300000032,-0.5524602740000004,0.20348309700000033,-0.018345419592817776,0.0,-0.15804820239999995,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.17142164949664399,0.6513962453310851,0.08615512398699689,16,25,22.65193370165746,40,3,36,9,25,16,13,10,Alpha,Fp2,POW.Fp2.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.02427276181712686,-0.05744926599999989,-0.42012050599999995,0.37865433800000003,-0.012682158425414466,0.0,-0.07902410120000014,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.15419291588656092,0.6468222335341265,0.0592056024432919,17,28,24.861878453038674,33,2,40,7,28,17,12,12,Alpha,Fz,POW.Fz.Alpha
