Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Band,Channel,Feature
POW_Feature,40,0.22222222222222224,4.383460514999998,2.787366748000001,-1.5960937669999966,0.5531687083000008,0.6321928094999996,0.07902410119999881,33.163235049801834,11.696376013088466,-21.466859036713366,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,41,0.22777777777777777,3.863191211,2.978806658,-0.8843845530000003,0.7112169107,0.5531687083,-0.15804820240000006,14.931060628738047,17.10023057939715,2.169169950659102,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,42,0.23333333333333334,4.156032477,2.558718292,-1.597314185,0.4741446071,0.5531687083,0.07902410119999997,20.543010513492064,8.766955156832806,-11.776055356659258,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,43,0.2388888888888889,3.233060204,2.927812635,-0.30524756900000005,0.5531687083,0.5531687083,0.0,17.508700279055866,17.236828576948184,-0.2718717021076813,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,44,0.24444444444444446,3.0411377620000004,2.5617430020000014,-0.47939475999999903,0.6321928095,0.5531687082999995,-0.07902410120000047,15.030993630522975,14.64795845266337,-0.38303517785960395,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,45,0.25,3.161932731,2.856427914,-0.30550481699999965,0.6321928095,0.4741446071,-0.1580482024,12.736156887360345,16.49245991807673,3.756303030716385,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,46,0.2555555555555556,3.222752107000007,3.0753162389999935,-0.1474358680000134,0.790241011899996,0.47414460710000317,-0.3160964047999928,19.19310761402299,12.635348481679662,-6.557759132343326,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,47,0.2611111111111111,3.931844122,2.430386647,-1.501457475,0.3951205059,0.7902410119,0.395120506,16.215668157045037,14.634807969745587,-1.58086018729945,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,48,0.26666666666666666,3.588912662,3.345563524,-0.2433491379999997,0.869265113,0.3951205059,-0.4741446071,21.71798554797063,14.265025515884481,-7.45296003208615,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,49,0.27222222222222225,3.4196419180000035,3.204060952999993,-0.21558096500001067,0.7112169106999993,0.47414460710000317,-0.2370723035999961,16.062919589010626,12.824115966662646,-3.23880362234798,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
