Source_File,Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
MODULATION_DATASET_minus_BASELINE_EC__plv_Summary.csv,,Raw EEG Phase-Locking Value Change,BetaH,,496,,,,,,,,,,0.5029789930721594,0.3671526194983011,-0.1358263735738581,-0.1394399987758426,0.162486595221203,0.4835854865509516
MODULATION_DATASET_minus_BASELINE_EC__plv_Summary.csv,,Raw EEG Phase-Locking Value Change,BetaL,,496,,,,,,,,,,0.5316699721592447,0.3842373588206524,-0.1474326133385923,-0.1542089866443718,0.1781079958439763,0.4880042312244572
MODULATION_DATASET_minus_BASELINE_EC__plv_Summary.csv,,Raw EEG Phase-Locking Value Change,Gamma,,496,,,,,,,,,,0.4167411907184316,0.2579308108741698,-0.1588103798442617,-0.1535211994964433,0.1607795961840726,0.3797012972941971
MODULATION_DATASET_minus_BASELINE_EC__plv_Summary.csv,,Raw EEG Phase-Locking Value Change,Theta,,496,,,,,,,,,,0.5708677544854956,0.3915091712834687,-0.1793585832020269,-0.1865673314363255,0.193623705776145,0.4730845240996055
MODULATION_DATASET_minus_BASELINE_EC__POW_Alpha_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,Alpha,Fast,496,,,,,,,,,,0.2667422383576413,0.2032753548726214,-0.0634668834850199,-0.0437758217185447,0.1046691899723555,0.5433163462620667
MODULATION_DATASET_minus_BASELINE_EC__POW_Alpha_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,Alpha,Medium,496,,,,,,,,,,0.2666983888341079,0.2032789008935825,-0.0634194879405253,-0.0437662832352644,0.1045904479683121,0.5432689538463926
MODULATION_DATASET_minus_BASELINE_EC__POW_Alpha_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,Alpha,Slow,496,,,,,,,,,,0.2673591779849122,0.2042129179897046,-0.0631462599952076,-0.0452129701451817,0.1054451515089999,0.5446883339445157
MODULATION_DATASET_minus_BASELINE_EC__POW_Alpha_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,Alpha,UltraSlow,496,,,,,,,,,,0.2547034024283441,0.200799394260123,-0.0539040081682211,-0.0284516534522759,0.0897862056728716,0.5302108359046331
MODULATION_DATASET_minus_BASELINE_EC__POW_BetaH_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,BetaH,Fast,496,,,,,,,,,,0.2786234221821592,0.1536792854084666,-0.1249441367736925,-0.0919813133983597,0.1508004013214555,0.6776286593750193
MODULATION_DATASET_minus_BASELINE_EC__POW_BetaH_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,BetaH,Medium,496,,,,,,,,,,0.2786048701877537,0.153661598299392,-0.1249432718883616,-0.0920400597548945,0.150762137528929,0.6775803672460885
MODULATION_DATASET_minus_BASELINE_EC__POW_BetaH_Envelope_Coherence_Summary.csv,,Band-Power Envelope Coherence Change,BetaH,Slow,496,,,,,,,,,,0.2801809187819402,0.1543431706495716,-0.1258377481323685,-0.0926431166776923,0.1536067582394282,0.6828828830135475
