Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Channel
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.1594520595889504,-0.12527058499999688,-0.3885549450000001,0.0555484209999999,-0.0005619914200552531,0.004422628099999937,-0.05307153790000002,0.07073794010000001,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7104339873206195,0.319364598468375,-0.017707655258936684,12,37,27.07182320441989,36,0,78,4,37,12,7,3,O1
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.13476517189502776,-0.12396955099999984,-0.3498839060000001,0.07955889100001245,-0.007890557676961266,-0.0044226282000000006,-0.053053455099999924,0.053071537999999974,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6756886847390321,0.3637177807592819,-0.050446440128616994,10,41,28.176795580110497,42,4,67,3,41,10,9,2,O2
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.1839344743618786,-0.13440947599999986,-0.406629369,0.06788663199999778,0.004984478057900578,0.004422628099999992,-0.04422628159999997,0.04864890979999997,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6252436199759989,0.4476059860990773,-0.07936434265662477,12,33,24.861878453038674,39,1,79,4,33,12,10,1,Oz
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.34718601217292855,-0.3079966049999998,-0.582663688,-0.046473084999999914,0.007989652356740363,0.0,-0.04422628159999964,0.04864890979999997,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6445881636458436,0.31868071242579876,0.022767497184492617,9,26,19.337016574585636,52,3,79,6,26,9,4,1,P3
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.27267663733812153,-0.22692984799999993,-0.45098453699999985,0.016308026000000142,0.045884840974419916,0.044226281600000195,0.0,0.08402993499999961,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6257563129306356,0.36589625148197213,0.019277344487749478,7,19,14.3646408839779,19,0,105,7,19,7,17,4,P4
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.5404228612022102,-0.39324121480000007,-0.6895588219999998,-0.21157316150000005,0.04671544439486193,0.03980365340000214,-0.0044226282000000006,0.1017204477,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7513924334854701,0.15337864602513837,0.029721717394243855,1,10,6.077348066298343,36,4,111,13,10,1,2,1,P7
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.4003244552005526,-0.4187093160000006,-0.560776997,-0.20339193000000022,0.00564385744790054,0.00884525630000016,-0.02669550100000001,0.04406052199999999,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.523483923210873,0.4450655933747159,0.03443847528837302,7,13,11.049723756906078,56,4,91,6,13,7,1,2,P8
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2235403559558012,-0.255024033,-0.3996478269999997,-0.08109807400000002,-0.05047690319464086,-0.04422628159999997,-0.084029935,-0.000183842500000031,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7178789470618426,0.26023637349964235,0.01696521802363381,8,26,18.784530386740332,96,8,36,1,26,8,2,2,PO10
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.025783594891712603,-0.14923619879999994,-0.25923494699999994,-0.03171976599999993,-0.038361165765193404,-0.01769051259999954,-0.08402993510000001,0.03980365340000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.786418764080547,0.1448395551348405,0.002501108227694668,5,30,19.337016574585636,64,5,65,7,30,5,1,2,PO9
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.24786860486961368,-0.21358917099999997,-0.46618220200000016,0.023591906999993473,0.02269799313419895,0.017690512599999986,-0.026701528599996138,0.07076205059999996,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6676270934043055,0.2796216508008167,0.01718796265782513,10,32,23.204419889502763,26,1,97,6,32,10,4,2,Pz
